Minimum bins required: 94 bins 

Bin 1:[49.7, 25.0] | Total Weight: 74.7 
Bin 2:[48.0, 48.1] | Total Weight: 96.1 
Bin 3:[49.6, 47.0] | Total Weight: 96.6 
Bin 4:[47.2, 40.5] | Total Weight: 87.7 
Bin 5:[27.1, 29.3, 41.0] | Total Weight: 97.4 
Bin 6:[48.5, 25.0] | Total Weight: 73.5 
Bin 7:[48.8, 27.3] | Total Weight: 76.1 
Bin 8:[48.5, 43.4] | Total Weight: 91.9 
Bin 9:[49.7, 49.1] | Total Weight: 98.8 
Bin 10:[47.9, 43.7] | Total Weight: 91.6 
Bin 11:[30.1, 31.5, 26.9] | Total Weight: 88.5 
Bin 12:[47.3, 25.6] | Total Weight: 72.9 
Bin 13:[49.5, 49.0] | Total Weight: 98.5 
Bin 14:[49.5, 41.9] | Total Weight: 91.4 
Bin 15:[46.6, 46.4] | Total Weight: 93.0 
Bin 16:[45.0, 47.8] | Total Weight: 92.8 
Bin 17:[44.6, 26.8, 27.8] | Total Weight: 99.2 
Bin 18:[25.2, 25.3, 31.8] | Total Weight: 82.3 
Bin 19:[44.4, 44.1] | Total Weight: 88.5 
Bin 20:[41.2, 44.5] | Total Weight: 85.7 
Bin 21:[26.2, 39.3] | Total Weight: 65.5 
Bin 22:[26.4, 25.5, 26.3] | Total Weight: 78.2 
Bin 23:[42.6] | Total Weight: 42.6 
Bin 24:[42.0, 30.5, 26.2] | Total Weight: 98.7 
Bin 25:[41.9, 46.2] | Total Weight: 88.1 
Bin 26:[28.0, 25.9, 38.6] | Total Weight: 92.5 
Bin 27:[43.0] | Total Weight: 43.0 
Bin 28:[40.7, 40.6] | Total Weight: 81.3 
Bin 29:[41.5, 28.2, 27.4] | Total Weight: 97.1 
Bin 30:[49.2, 48.0] | Total Weight: 97.2 
Bin 31:[48.5, 48.5] | Total Weight: 97.0 
Bin 32:[49.7, 35.0] | Total Weight: 84.7 
Bin 33:[39.2, 41.4] | Total Weight: 80.6 
Bin 34:[47.3, 25.2, 25.7] | Total Weight: 98.2 
Bin 35:[37.6, 37.2, 25.1] | Total Weight: 99.9 
Bin 36:[37.0, 26.0, 26.9] | Total Weight: 89.9 
Bin 37:[36.7, 36.7, 25.9] | Total Weight: 99.3 
Bin 38:[38.5, 27.1] | Total Weight: 65.6 
Bin 39:[36.6, 36.6, 26.7] | Total Weight: 99.9 
Bin 40:[36.6, 25.3, 30.8] | Total Weight: 92.7 
Bin 41:[36.3, 36.3, 26.9] | Total Weight: 99.5 
Bin 42:[36.2, 36.1, 27.6] | Total Weight: 99.9 
